date;timestamp;wei
12/13/2020;1607817600;45496784769
12/14/2020;1607904000;63655438361
12/15/2020;1607990400;84560575140
12/16/2020;1608076800;83601467306
12/17/2020;1608163200;1,38818E+11
12/18/2020;1608249600;74197672209
12/19/2020;1608336000;70165553145
12/20/2020;1608422400;44525185130
12/21/2020;1608508800;80001622383
12/22/2020;1608595200;66555945514
12/23/2020;1608681600;1,08363E+11
12/24/2020;1608768000;89685037081
12/25/2020;1608854400;91695148943
12/26/2020;1608940800;66456740443
12/27/2020;1609027200;98656135135
12/28/2020;1609113600;1,1419E+11
12/29/2020;1609200000;96068312188
12/30/2020;1609286400;1,13635E+11
12/31/2020;1609372800;99481529136
01/01/2021;1609459200;66560418720
01/02/2021;1609545600;1,02606E+11
01/03/2021;1609632000;1,70448E+11
01/04/2021;1609718400;2,59309E+11
01/05/2021;1609804800;1,38144E+11
01/06/2021;1609891200;1,2511E+11
01/07/2021;1609977600;1,33169E+11
01/08/2021;1610064000;1,39786E+11
01/09/2021;1610150400;92563339823
01/10/2021;1610236800;87310659101
01/11/2021;1610323200;2,38075E+11
01/12/2021;1610409600;87031984990
1/13/2021;1610496000;67945681638
1/14/2021;1610582400;85478387564
1/15/2021;1610668800;94274611075
1/16/2021;1610755200;81160820583
1/17/2021;1610841600;63895643119
1/18/2021;1610928000;75294263372
1/19/2021;1611014400;1,0088E+11
1/20/2021;1611100800;83504044289
1/21/2021;1611187200;1,21059E+11
1/22/2021;1611273600;1,31622E+11
1/23/2021;1611360000;80179001262
1/24/2021;1611446400;81094537437
1/25/2021;1611532800;1,08165E+11
1/26/2021;1611619200;85152958296
1/27/2021;1611705600;1,00001E+11
1/28/2021;1611792000;94810705889
1/29/2021;1611878400;1,40718E+11
1/30/2021;1611964800;1,1328E+11
1/31/2021;1612051200;1,28793E+11
02/01/2021;1612137600;1,5367E+11
02/02/2021;1612224000;1,75725E+11
02/03/2021;1612310400;1,73453E+11
02/04/2021;1612396800;2,32624E+11
02/05/2021;1612483200;2,52332E+11
02/06/2021;1612569600;1,7964E+11
02/07/2021;1612656000;1,6007E+11
02/08/2021;1612742400;2,12876E+11
02/09/2021;1612828800;2,33574E+11
02/10/2021;1612915200;2,13089E+11
02/11/2021;1613001600;1,75207E+11
02/12/2021;1613088000;1,80073E+11
2/13/2021;1613174400;1,88806E+11
2/14/2021;1613260800;1,50406E+11
2/15/2021;1613347200;1,78715E+11
2/16/2021;1613433600;1,7304E+11
2/17/2021;1613520000;1,73353E+11
2/18/2021;1613606400;1,83087E+11
